Arquivo;Revisão
testeporra.xml;
PRD-PRO-MDE-011;1
PRD-PRO-MDE-012;1
PRD-PRO-MDE-008;1
PRD-PRO-MDE-009;1
PRD-PRO-MDE-010;1
PRD-PRO-MDE-006;0
PRD-PRO-MDE-007;0
PRD-PRO-MDE-003;1
PRD-PRO-MDE-004;0
PRD-PRO-MDE-005;0
PRD-PRO-MDE-001;0
PRD-PRO-MDE-002;1
PRD-MEC-TSP-009;0
PRD-PRO-LIS-001;0
PRD-PRO-LIS-002;0
PRD-MEC-TSP-006;0
PRD-MEC-TSP-008;0
PRD-MEC-TSP-003;0
PRD-MEC-TSP-004;0
PRD-MEC-TSP-005;0
PRD-MEC-MTR-006;0
PRD-MEC-TSP-002;0
PRD-MEC-MTR-003;0
PRD-MEC-MTR-004;0
PRD-MEC-MTR-005;0
PRD-MEC-MTR-001;0
PRD-MEC-MTR-002;0
PRD-MEC-LIS-003;0
PRD-MEC-LIS-004;0
PRD-MEC-LIS-007;0
PRD-MEC-LIS-001;0
PRD-MEC-LIS-002;0
PRD-MEC-DSH-029;0
PRD-MEC-DSH-030;0
PRD-MEC-DSH-031;1
PRD-MEC-DSH-027;0
PRD-MEC-DSH-028;0
PRD-MEC-DSH-024;0
PRD-MEC-DSH-025;0
PRD-MEC-DSH-026;0
PRD-MEC-DSH-022;0
PRD-MEC-DSH-023;0
PRD-MEC-DSH-020;0
PRD-MEC-DSH-021;0
PRD-MEC-DSH-019;0
PRD-MEC-DSH-016;0
PRD-MEC-DSH-018;0
PRD-MEC-DSH-017;0
PRD-MEC-DSH-014;0
PRD-MEC-DSH-015;0
PRD-MEC-DSH-011;0
PRD-MEC-DSH-012;0
PRD-MEC-DSH-013;0
PRD-MEC-DSH-009;0
PRD-MEC-DSH-010;0
PRD-MEC-DSH-006;0
PRD-MEC-DSH-007;0
PRD-MEC-DSH-008;0
PRD-MEC-DSH-004;0
PRD-MEC-DSH-005;0
PRD-MEC-DSH-001;0
PRD-MEC-DSH-002;0
PRD-MEC-DSH-003;0
PRD-MEC-CLC-010;0
PRD-MEC-CRT-001;0
